p_val	avg_logFC	pct.1	pct.2	p_val_adj	CellType	Gene
0	2.342537568	0.809	0.045	0	Fibro	COL1A1
0	2.337956061	0.982	0.072	0	Fibro	DCN
0	2.288389961	0.915	0.064	0	Fibro	COL1A2
0	2.227754734	0.761	0.018	0	Fibro	LUM
0	2.194245615	0.766	0.024	0	Fibro	MMP2
0	2.190029399	0.855	0.069	0	Fibro	COL3A1
0	2.185747484	0.848	0.038	0	Fibro	COL6A3
0	2.126316966	0.892	0.065	0	Fibro	COL6A1
0	2.123897978	0.808	0.034	0	Fibro	CTSK
0	2.119947304	0.692	0.019	0	Fibro	FBLN1
0	2.087627535	0.862	0.057	0	Fibro	C1S
0	2.059549103	0.917	0.077	0	Fibro	COL6A2
0	2.058581944	0.836	0.058	0	Fibro	CCDC80
0	2.023960277	0.765	0.036	0	Fibro	VCAN
0	1.964636865	0.582	0.01	0	Fibro	SFRP2
0	1.954805114	0.623	0.052	0	Fibro	CFD
0	1.912710615	0.721	0.031	0	Fibro	FBLN2
0	1.912457973	0.741	0.051	0	Fibro	FBN1
0	1.910663933	0.686	0.036	0	Fibro	COL5A2
0	1.897565341	0.613	0.024	0	Fibro	COL5A1
0	1.893174064	0.713	0.036	0	Fibro	PCOLCE
0	1.888704687	0.65	0.018	0	Fibro	MFAP4
0	1.803210913	0.751	0.056	0	Fibro	AEBP1
0	1.776340883	0.629	0.024	0	Fibro	LRP1
0	1.757057579	0.861	0.116	0	Fibro	C1R
0	1.741651224	0.574	0.04	0	Fibro	COL12A1
0	1.735397477	0.61	0.038	0	Fibro	THBS2
0	1.721149609	0.627	0.03	0	Fibro	THY1
0	1.709997136	0.59	0.016	0	Fibro	OLFML3
0	1.706555284	0.597	0.014	0	Fibro	LAMA2
0	1.7043566	0.508	0.02	0	Fibro	TNFAIP6
0	1.702729864	0.784	0.081	0	Fibro	SERPINF1
0	1.697036509	0.585	0.01	0	Fibro	PDGFRA
0	1.680228879	0.506	0.06	0	Fibro	POSTN
0	1.674183217	0.832	0.112	0	Fibro	FSTL1
0	1.67196103	0.547	0.011	0	Fibro	DPT
0	1.668653082	0.621	0.016	0	Fibro	MXRA8
0	1.667461103	0.681	0.051	0	Fibro	CFH
0	1.651649818	0.814	0.115	0	Fibro	TIMP2
0	1.647985897	0.572	0.026	0	Fibro	LOX
0	1.629310742	0.452	0.025	0	Fibro	C3
0	1.626010286	0.685	0.084	0	Fibro	HTRA1
0	1.60135511	0.491	0.018	0	Fibro	RP11-572C15.6
