CellType	Gene
melanoma	MIA
melanoma	TYR
melanoma	SLC45A2
melanoma	CDH19
melanoma	PMEL
melanoma	SLC24A5
melanoma	MAGEA6
melanoma	GJB1
melanoma	PLP1
melanoma	PRAME
melanoma	CAPN3
melanoma	ERBB3
melanoma	GPM6B
melanoma	S100B
melanoma	FXYD3
melanoma	PAX3
melanoma	S100A1
melanoma	MLANA
melanoma	SLC26A2
melanoma	GPR143
melanoma	CSPG4
melanoma	SOX10
melanoma	MLPH
melanoma	LOXL4
melanoma	PLEKHB1
melanoma	RAB38
melanoma	QPCT
melanoma	BIRC7
melanoma	MFI2
melanoma	LINC00473
melanoma	SEMA3B
melanoma	SERPINA3
melanoma	PIR
melanoma	MITF
melanoma	ST6GALNAC2
melanoma	ROPN1B
melanoma	CDH1
melanoma	ABCB5
melanoma	QDPR
melanoma	SERPINE2
melanoma	ATP1A1
melanoma	ST3GAL4
melanoma	CDK2
melanoma	ACSL3
melanoma	NT5DC3
melanoma	IGSF8
melanoma	MBP
CAFs	FAP
CAFs	THY1
CAFs	DCN
CAFs	COL1A1
CAFs	COL1A2
CAFs	COL6A1
CAFs	COL6A2
CAFs	COL6A3
CAFs	CXCL14
CAFs	LUM
CAFs	COL3A1
CAFs	DPT
CAFs	ISLR
CAFs	PODN
CAFs	CD248
CAFs	FGF7
CAFs	MXRA8
CAFs	PDGFRL
CAFs	COL14A1
CAFs	MFAP5
CAFs	MEG3
CAFs	SULF1
CAFs	AOX1
CAFs	SVEP1
CAFs	LPAR1
CAFs	PDGFRB
CAFs	TAGLN
CAFs	IGFBP6
CAFs	FBLN1
CAFs	CA12
CAFs	SPOCK1
CAFs	TPM2
CAFs	THBS2
CAFs	FBLN5
CAFs	TMEM119
CAFs	ADAM33
CAFs	PRRX1
CAFs	PCOLCE
CAFs	IGF2
CAFs	GFPT2
CAFs	PDGFRA
CAFs	CRISPLD2
CAFs	CPE
CAFs	F3
CAFs	MFAP4
CAFs	C1S
CAFs	PTGIS
CAFs	LOX
CAFs	CYP1B1
CAFs	CLDN11
CAFs	SERPINF1
CAFs	OLFML3
