Cell.type	Gene	Cell.state
B cells	CD22	S01
B cells	CD79B	S01
B cells	FCER2	S01
B cells	FCMR	S01
B cells	FCRL1	S01
B cells	FOXP1	S01
B cells	HVCN1	S01
B cells	IGHD	S01
B cells	IRF8	S01
B cells	MBD4	S01
B cells	MS4A1	S01
B cells	PAX5	S01
B cells	SEPT1	S01
B cells	TCL1A	S01
B cells	ZFP36L2	S01
B cells	ANKRD34A	S02
B cells	B3GAT2	S02
B cells	FXYD7	S02
B cells	ITGAV	S02
B cells	KCNN3	S02
B cells	MPZ	S02
B cells	PCDH11X	S02
B cells	SOX8	S02
B cells	TAS1R3	S02
B cells	TCL1B	S02
B cells	ZNF264	S02
B cells	ZNF425	S02
B cells	ZNF665	S02
B cells	ZNF771	S02
B cells	ZPR1	S02
B cells	CLU	S03
B cells	CNR1	S03
B cells	EGR4	S03
B cells	GPM6A	S03
B cells	ITGA10	S03
B cells	MAP3K7CL	S03
B cells	NIPSNAP3B	S03
B cells	NR2F6	S03
B cells	NR4A1	S03
B cells	NR4A3	S03
B cells	PPP1R12B	S03
B cells	RND1	S03
B cells	SCN11A	S03
B cells	ZBTB39	S03
B cells	ACSL6	S04
B cells	C2CD5	S04
B cells	FAM133B	S04
B cells	IKBKB	S04
B cells	MAGEB10	S04
B cells	NEIL2	S04
B cells	NR2C2	S04
B cells	NT5E	S04
B cells	PEX1	S04
B cells	PYROXD1	S04
B cells	TMEM134	S04
B cells	TMEM65	S04
B cells	TNFRSF10A	S04
B cells	TUBD1	S04
B cells	ZNF44	S04
B cells	ZNF675	S04
B cells	ZSCAN12	S04
B cells	ZSCAN22	S04
B cells	BATF	S05
B cells	BHLHE40	S05
B cells	CD53	S05
B cells	CLECL1	S05
B cells	HCST	S05
B cells	HLA-A	S05
B cells	HLA-B	S05
B cells	ID2	S05
B cells	LTB	S05
B cells	P2RY8	S05
B cells	RUNX3	S05
B cells	S100A4	S05
B cells	SASH3	S05
B cells	SH3BGRL3	S05
B cells	STAT1	S05
B cells	TRAF3IP3	S05
B cells	WDFY4	S05
CD4 T cells	BATF	S01
CD4 T cells	CREB3L2	S01
CD4 T cells	CTLA4	S01
CD4 T cells	CTSC	S01
CD4 T cells	CXCR6	S01
CD4 T cells	DUSP4	S01
