meta cluster	Functional properties	TF	"cytokine, chemokine and effector molecule"	cytokine receptor and chemokines receptor	other genes	P	N	T
CD8.c01	Tn	"LEF1, TCF7, KLF2, TXK, BACH2"	"LTB, FLT3LG, TNFSF8, CMTM8, IL23A, TIMP1, WNT7A"	"CCR7, IL7R, IL6R, IFNGR2"	"SELL, MAL, EEF1A1, ACTN1, TRABD2A, TPT1, EEF1B2, NELL2, NOSIP, PABPC1"	5.06	0.77	0.63
CD8.c02	IL7R+ Tm	"ZFP36L2, TSC22D3"		"IL7R, CXCR4"	"ZFP36, BTG1, ANXA1, LMNA, CD55, TNFAIP3, FTH1, RGCC, GPR183, PABPC1"	0.21	2.38	0.55
CD8.c04	ZNF683+CXCR6- Tm	ZNF683	"CCL5, IL32, GZMA, TNF, CKLF"		"ACTB, CD52, TRAF3IP3, SH3BGRL3, SIT1, S100A4, CISH, MYL12A, PTPRCAP, PFN1"	1.2	1.49	0.66
CD8.c05	GZMK+ early Tem	EOMES	GZMK	"CXCR4, CD74, CXCR5, CCR4, CD44"	"DUSP2, CMC1, CST7, DKK3, SH2D1A, ENC1, TRAT1, DTHD1, PIK3R1, CRTAM"	0.35	0.98	1.24
CD8.c06	GZMK+ Tem	"EOMES, SUB1"	"GZMK, GZMA, CCL5, GZMH, IL32, CCL4"	"CD74, CCR5, CXCR3"	"HLA-DRB1, HLA-DPA1, COTL1, HLA-DPB1, HLA-DQA1, HLA-DQB1, HLA-DRB5, ITM2C, CST7, APOBEC3G"	0.59	0.64	1.67
CD8.c07	Temra	"ASCL2, KLF2, KLF3, ZEB2, TBX21"	"GZMH, GZMB, GZMM, GZMA"	"CX3CR1, CXCR2, CMKLR1, CXCR1"	"FGFBP2, FCGR3A, S1PR5, PRSS23, GNLY, NKG7, KLRD1, FGR, PLEK, C1orf21"	7.05	1.34	0.35
CD8.c08	KIR+EOMES+ NK-like	"IKZF2, EOMES, NR4A2, LITAF, ZNF331"	"GZMK, XCL2, XCL1, GZMM, TNFSF9"	"IFNGR1, CXCR4, CD74, IL2RB"	"KIR(KIR2DL3,KIR3DL2), CD160, TYROBP, KLRF1, KLRD1, KLRG1, CMC1, GCSAM, DUSP2"	1.27	2.23	0.44
CD8.c09	KIR+TXK+ NK-like	"IKZF2, HOPX, TXK, FOSL2, REL"	"XCL1, XCL2, AREG, FAM3C, IL32"	"IL2RB, IL12RB2"	"KIR(KIR2DL3, KIR3DL2, KIR2DL4, KIR2DL1, KIR3DL1), TYROBP, KLRC2, KLRC3, LAT2, B3GNT7"	0.08	2	0.66
CD8.c10	ZNF683+CXCR6+ Trm	"ZNF683, HOPX, ID2, ZFP36L2, RBPJ"	"CKLF, IL32, GZMB, XCL1, CCL5, GZMA, XCL2"	"CXCR6, CXCR3"	"CAPG, TMSB4X, S100A4, LGALS3, ACTB, SH3BGRL3, CD52, LGALS1, ITGA1, LDLRAD4"	0.17	1.11	1.18
CD8.c11	GZMK+ Tex	"TOX, TSC22D1, PRDM1, TRPS1, EOMES"	"GZMK, CXCL13, GZMA, CCL3, CCL5, CCL3L3, TNFSF4, CCL4, IFNG, NAMPT"	"CD74, CXCR6, CCR5"	"HAVCR2, CD27, VCAM1, LYST, PDCD1, DUSP4, CTLA4, TNFRSF9, HLA-DQA1, HLA-DRB1"	0.09	0.38	3.38
